Year,League,Statistic,Player_Name,Team,Value
1901,AL,Complete Games,Joe McGinnity,Baltimore,39
1901,AL,ERA,Cy Young,Boston,1.62
1901,AL,Games,Joe McGinnity,Baltimore,48
1901,AL,Saves,Bill Hoffer,Cleveland,3
1901,AL,Shutouts,Clark Griffith,Chicago,5
1901,AL,Shutouts,Cy Young,Boston,5
1901,AL,Strikeouts,Cy Young,Boston,158
1901,AL,Winning Percentage,Clark Griffith,Chicago,.774
1901,AL,Wins,Cy Young,Boston,33
1902,AL,Complete Games,Cy Young,Boston,41
1902,AL,ERA,Ed Siever,Detroit,1.91
1902,AL,Games,Cy Young,Boston,45
1902,AL,Saves,Jack Powell,St. Louis,2
1902,AL,Shutouts,Addie Joss,Cleveland,5
1902,AL,Strikeouts,Rube Waddell,Philadelphia,210
1902,AL,Winning Percentage,Bill Bernhard,Philadelphia,.783
1902,AL,Winning Percentage,Bill Bernhard,Cleveland,.783
1902,AL,Wins,Cy Young,Boston,32
1903,AL,Complete Games,Bill Donovan,Detroit,34
1903,AL,Complete Games,Rube Waddell,Philadelphia,34
1903,AL,Complete Games,Cy Young,Boston,34
1903,AL,ERA,Earl Moore,Cleveland,1.74
1903,AL,Games,Eddie Plank,Philadelphia,43
1903,AL,Saves,Bill Dinneen,Boston,2
1903,AL,Saves,George Mullin,Detroit,2
1903,AL,Saves,Al Orth,Washington,2
1903,AL,Saves,Jack Powell,St. Louis,2
1903,AL,Saves,Cy Young,Boston,2
1903,AL,Shutouts,Cy Young,Boston,7
1903,AL,Strikeouts,Rube Waddell,Philadelphia,302
1903,AL,Winning Percentage,Cy Young,Boston,.757
1903,AL,Wins,Cy Young,Boston,28
1904,AL,Complete Games,Jack Chesbro,New York,48
1904,AL,ERA,Addie Joss,Cleveland,1.59
1904,AL,Games,Jack Chesbro,New York,55
1904,AL,Saves,Case Patten,Washington,3
1904,AL,Shutouts,Cy Young,Boston,10
1904,AL,Strikeouts,Rube Waddell,Philadelphia,349
1904,AL,Winning Percentage,Jack Chesbro,New York,.774
1904,AL,Wins,Jack Chesbro,New York,41
1905,AL,Complete Games,Harry Howell,St. Louis,35
1905,AL,Complete Games,George Mullin,Detroit,35
1905,AL,Complete Games,Eddie Plank,Philadelphia,35
1905,AL,ERA,Rube Waddell,Philadelphia,1.48
1905,AL,Games,Rube Waddell,Philadelphia,46
1905,AL,Saves,Jim Buchanan,St. Louis,2
1905,AL,Shutouts,Ed Killian,Detroit,8
1905,AL,Strikeouts,Rube Waddell,Philadelphia,287
1905,AL,Winning Percentage,Rube Waddell,Philadelphia,.730
1905,AL,Wins,Rube Waddell,Philadelphia,27
1906,AL,Complete Games,Al Orth,New York,36
1906,AL,ERA,Doc White,Chicago,1.52
1906,AL,Games,Jack Chesbro,New York,49
1906,AL,Saves,Chief Bender,Philadelphia,3
1906,AL,Saves,Otto Hess,Cleveland,3
1906,AL,Shutouts,Ed Walsh,Chicago,10
1906,AL,Strikeouts,Rube Waddell,Philadelphia,196
1906,AL,Winning Percentage,Eddie Plank,Philadelphia,.760
1906,AL,Wins,Al Orth,New York,27
1907,AL,Complete Games,Ed Walsh,Chicago,37
1907,AL,ERA,Ed Walsh,Chicago,1.60
1907,AL,Games,Ed Walsh,Chicago,56
1907,AL,Saves,Bill Dinneen,Philadelphia,4
1907,AL,Saves,Bill Dinneen,St. Louis,4
1907,AL,Saves,Tom Hughes,Washington,4
1907,AL,Saves,Ed Walsh,Chicago,4
1907,AL,Shutouts,Eddie Plank,Philadelphia,8
1907,AL,Strikeouts,Rube Waddell,Philadelphia,232
1907,AL,Winning Percentage,Bill Donovan,Detroit,.862
1907,AL,Wins,Addie Joss,Cleveland,27
1907,AL,Wins,Doc White,Chicago,27
1908,AL,Complete Games,Ed Walsh,Chicago,42
1908,AL,ERA,Addie Joss,Cleveland,1.16
1908,AL,Games,Ed Walsh,Chicago,66
1908,AL,Saves,Ed Walsh,Chicago,6
1908,AL,Shutouts,Ed Walsh,Chicago,11
1908,AL,Strikeouts,Ed Walsh,Chicago,269
1908,AL,Winning Percentage,Ed Walsh,Chicago,.727
1908,AL,Wins,Ed Walsh,Chicago,40
1909,AL,Complete Games,Frank Smith,Chicago,37
1909,AL,ERA,Harry Krause,Philadelphia,1.39
1909,AL,Games,Frank Smith,Chicago,51
1909,AL,Saves,Frank Arellanes,Boston,8
1909,AL,Shutouts,Ed Walsh,Chicago,8
1909,AL,Strikeouts,Frank Smith,Chicago,177
1909,AL,Winning Percentage,George Mullin,Detroit,.784
1909,AL,Wins,George Mullin,Detroit,29
1910,AL,Complete Games,Walter Johnson,Washington,38
1910,AL,ERA,Ed Walsh,Chicago,1.27
1910,AL,Games,Ed Walsh,Chicago,45
1910,AL,Games,Jack Coombs,Philadelphia,45
1910,AL,Games,Walter Johnson,Washington,45
1910,AL,Saves,Ed Walsh,Chicago,5
1910,AL,Shutouts,Jack Coombs,Philadelphia,13
1910,AL,Strikeouts,Walter Johnson,Washington,313
1910,AL,Winning Percentage,Chief Bender,Philadelphia,.821
1910,AL,Wins,Jack Coombs,Philadelphia,31
1911,AL,Complete Games,Walter Johnson,Washington,36
1911,AL,ERA,Vean Gregg,Cleveland,1.80
1911,AL,Games,Ed Walsh,Chicago,56
1911,AL,Saves,Charley Hall,Boston,4
1911,AL,Saves,Eddie Plank,Philadelphia,4
1911,AL,Saves,Ed Walsh,Chicago,4
1911,AL,Shutouts,Eddie Plank,Philadelphia,6
1911,AL,Shutouts,Walter Johnson,Washington,6
1911,AL,Strikeouts,Ed Walsh,Chicago,255
1911,AL,Winning Percentage,Chief Bender,Philadelphia,.773
1911,AL,Wins,Jack Coombs,Philadelphia,28
1912,AL,Complete Games,Smoky Joe Wood,Boston,35
1912,AL,ERA,Walter Johnson,Washington,1.39
1912,AL,Games,Ed Walsh,Chicago,62
1912,AL,Saves,Ed Walsh,Chicago,10
1912,AL,Shutouts,Smoky Joe Wood,Boston,10
1912,AL,Strikeouts,Walter Johnson,Washington,303
1912,AL,Winning Percentage,Smoky Joe Wood,Boston,.872
1912,AL,Wins,Smoky Joe Wood,Boston,34
1913,AL,Complete Games,Walter Johnson,Washington,29
1913,AL,ERA,Walter Johnson,Washington,1.14
1913,AL,Games,Reb Russell,Chicago,52
1913,AL,Saves,Chief Bender,Philadelphia,13
1913,AL,Shutouts,Walter Johnson,Washington,11
1913,AL,Strikeouts,Walter Johnson,Washington,243
1913,AL,Winning Percentage,Walter Johnson,Washington,.837
1913,AL,Wins,Walter Johnson,Washington,36
1914,AL,Complete Games,Walter Johnson,Washington,33
1914,AL,ERA,Dutch Leonard,Boston,0.96
1914,AL,Games,Walter Johnson,Washington,51
1914,AL,Saves,Jack Bentley,Washington,4
1914,AL,Saves,Hooks Dauss,Detroit,4
1914,AL,Saves,Red Faber,Chicago,4
1914,AL,Saves,Roy Mitchell,St. Louis,4
1914,AL,Saves,Jim Shaw,Washington,4
1914,AL,Shutouts,Walter Johnson,Washington,9
1914,AL,Strikeouts,Walter Johnson,Washington,225
1914,AL,Winning Percentage,Chief Bender,Philadelphia,.850
1914,AL,Wins,Walter Johnson,Washington,28
1915,AL,Complete Games,Walter Johnson,Washington,35
1915,AL,ERA,Smoky Joe Wood,Boston,1.49
1915,AL,Games,Harry Coveleski,Detroit,50
1915,AL,Games,Red Faber,Chicago,50
1915,AL,Saves,Carl Mays,Boston,7
1915,AL,Shutouts,Walter Johnson,Washington,7
1915,AL,Shutouts,Jim Scott,Chicago,7
1915,AL,Strikeouts,Walter Johnson,Washington,203
1915,AL,Winning Percentage,Smoky Joe Wood,Boston,.750
1915,AL,Wins,Walter Johnson,Washington,27
1916,AL,Complete Games,Walter Johnson,Washington,36
1916,AL,ERA,Babe Ruth,Boston,1.75
1916,AL,Games,Dave Davenport,St. Louis,59
1916,AL,Saves,Bob Shawkey,New York,8
1916,AL,Shutouts,Babe Ruth,Boston,9
1916,AL,Strikeouts,Walter Johnson,Washington,228
1916,AL,Winning Percentage,Nick Cullop,New York,.684
1916,AL,Wins,Walter Johnson,Washington,25
1917,AL,Complete Games,Babe Ruth,Boston,35
1917,AL,ERA,Eddie Cicotte,Chicago,1.53
1917,AL,Games,Dave Danforth,Chicago,50
1917,AL,Saves,Dave Danforth,Chicago,9
1917,AL,Shutouts,Stan Coveleski,Cleveland,9
1917,AL,Strikeouts,Walter Johnson,Washington,188
1917,AL,Winning Percentage,Ed Klepfer,Cleveland,.778
1917,AL,Wins,Eddie Cicotte,Chicago,28
1918,AL,Complete Games,Carl Mays,Boston,30
1918,AL,Complete Games,Scott Perry,Philadelphia,30
1918,AL,ERA,Walter Johnson,Washington,1.27
1918,AL,Games,Jim Bagby,Cleveland,45
1918,AL,Games,George Mogridge,New York,45
1918,AL,Saves,George Mogridge,New York,7
1918,AL,Shutouts,Walter Johnson,Washington,8
1918,AL,Shutouts,Carl Mays,Boston,8
1918,AL,Strikeouts,Walter Johnson,Washington,162
1918,AL,Winning Percentage,Sam Jones,Boston,.762
1918,AL,Wins,Walter Johnson,Washington,23
1919,AL,Complete Games,Eddie Cicotte,Chicago,30
1919,AL,ERA,Walter Johnson,Washington,1.49
1919,AL,Games,Jim Shaw,Washington,45
1919,AL,Saves,Allan Russell,New York,5
1919,AL,Saves,Allan Russell,Boston,5
1919,AL,Saves,Bob Shawkey,New York,5
1919,AL,Saves,Jim Shaw,Washington,5
1919,AL,Shutouts,Walter Johnson,Washington,7
1919,AL,Strikeouts,Walter Johnson,Washington,147
1919,AL,Winning Percentage,Eddie Cicotte,Chicago,.806
1919,AL,Wins,Eddie Cicotte,Chicago,29
1920,AL,Complete Games,Jim Bagby,Cleveland,30
1920,AL,ERA,Bob Shawkey,New York,2.45
1920,AL,Games,Jim Bagby,Cleveland,48
1920,AL,Saves,Dickie Kerr,Chicago,5
1920,AL,Saves,Urban Shocker,St. Louis,5
1920,AL,Shutouts,Carl Mays,New York,6
1920,AL,Strikeouts,Stan Coveleski,Cleveland,133
1920,AL,Winning Percentage,Jim Bagby,Cleveland,.721
1920,AL,Wins,Jim Bagby,Cleveland,31
1921,AL,Complete Games,Red Faber,Chicago,32
1921,AL,ERA,Red Faber,Chicago,2.48
1921,AL,Games,Carl Mays,New York,49
1921,AL,Saves,Carl Mays,New York,7
1921,AL,Saves,Jim Middleton,Detroit,7
1921,AL,Shutouts,Sam Jones,Boston,5
1921,AL,Strikeouts,Walter Johnson,Washington,143
1921,AL,Winning Percentage,Carl Mays,New York,.750
1921,AL,Wins,Carl Mays,New York,27
1921,AL,Wins,Urban Shocker,St. Louis,27
1922,AL,Complete Games,Red Faber,Chicago,31
1922,AL,ERA,Red Faber,Chicago,2.81
1922,AL,Games,Eddie Rommel,Philadelphia,51
1922,AL,Saves,Sam Jones,New York,8
1922,AL,Shutouts,George Uhle,Cleveland,5
1922,AL,Strikeouts,Urban Shocker,St. Louis,149
1922,AL,Winning Percentage,Joe Bush,New York,.788
1922,AL,Wins,Eddie Rommel,Philadelphia,27
1923,AL,Complete Games,George Uhle,Cleveland,29
1923,AL,ERA,Stan Coveleski,Cleveland,2.76
1923,AL,Games,Eddie Rommel,Philadelphia,56
1923,AL,Saves,Allan Russell,Washington,9
1923,AL,Shutouts,Stan Coveleski,Cleveland,5
1923,AL,Strikeouts,Walter Johnson,Washington,130
1923,AL,Winning Percentage,Herb Pennock,New York,.760
1923,AL,Wins,George Uhle,Cleveland,26
1924,AL,Complete Games,Sloppy Thurston,Chicago,28
1924,AL,ERA,Walter Johnson,Washington,2.72
1924,AL,Games,Firpo Marberry,Washington,50
1924,AL,Saves,Firpo Marberry,Washington,15
1924,AL,Shutouts,Walter Johnson,Washington,6
1924,AL,Strikeouts,Walter Johnson,Washington,158
1924,AL,Winning Percentage,Walter Johnson,Washington,.767
1924,AL,Wins,Walter Johnson,Washington,23
1925,AL,Complete Games,Howard Ehmke,Boston,22
1925,AL,Complete Games,Sherry Smith,Cleveland,22
1925,AL,ERA,Stan Coveleski,Washington,2.84
1925,AL,Games,Firpo Marberry,Washington,55
1925,AL,Saves,Firpo Marberry,Washington,15
1925,AL,Shutouts,Ted Lyons,Chicago,5
1925,AL,Strikeouts,Lefty Grove,Philadelphia,116
1925,AL,Winning Percentage,Stan Coveleski,Washington,.800
1925,AL,Wins,Ted Lyons,Chicago,21
1925,AL,Wins,Eddie Rommel,Philadelphia,21
1926,AL,Complete Games,George Uhle,Cleveland,32
1926,AL,ERA,Lefty Grove,Philadelphia,2.51
1926,AL,Games,Firpo Marberry,Washington,64
1926,AL,Saves,Firpo Marberry,Washington,22
1926,AL,Shutouts,Ed Wells,Detroit,4
1926,AL,Strikeouts,Lefty Grove,Philadelphia,194
1926,AL,Winning Percentage,George Uhle,Cleveland,.711
1926,AL,Wins,George Uhle,Cleveland,27
1927,AL,Complete Games,Ted Lyons,Chicago,30
1927,AL,ERA,Wilcy Moore,New York,2.28
1927,AL,Games,Garland Braxton,Washington,58
1927,AL,Saves,Garland Braxton,Washington,13
1927,AL,Saves,Wilcy Moore,New York,13
1927,AL,Shutouts,Hod Lisenbee,Washington,4
1927,AL,Strikeouts,Lefty Grove,Philadelphia,174
1927,AL,Winning Percentage,Waite Hoyt,New York,.759
1927,AL,Wins,Waite Hoyt,New York,22
1927,AL,Wins,Ted Lyons,Chicago,22
1928,AL,Complete Games,Red Ruffing,Boston,25
1928,AL,ERA,Garland Braxton,Washington,2.51
1928,AL,Games,Firpo Marberry,Washington,48
1928,AL,Saves,Waite Hoyt,New York,8
1928,AL,Shutouts,Herb Pennock,New York,5
1928,AL,Strikeouts,Lefty Grove,Philadelphia,183
1928,AL,Winning Percentage,Alvin Crowder,St. Louis,.808
1928,AL,Wins,Lefty Grove,Philadelphia,24
1928,AL,Wins,George Pipgras,New York,24
1929,AL,Complete Games,Tommy Thomas,Chicago,24
1929,AL,ERA,Lefty Grove,Philadelphia,2.81
1929,AL,Games,Firpo Marberry,Washington,49
1929,AL,Saves,Firpo Marberry,Washington,11
1929,AL,Shutouts,George Blaeholder,St. Louis,5
1929,AL,Shutouts,Alvin Crowder,St. Louis,5
1929,AL,Shutouts,Dolly Gray,St. Louis,5
1929,AL,Shutouts,Danny MacFayden,Boston,5
1929,AL,Strikeouts,Lefty Grove,Philadelphia,170
1929,AL,Winning Percentage,Lefty Grove,Philadelphia,.769
1929,AL,Wins,George Earnshaw,Philadelphia,24
1930,AL,Complete Games,Ted Lyons,Chicago,29
1930,AL,ERA,Lefty Grove,Philadelphia,2.54
1930,AL,Games,Lefty Grove,Philadelphia,50
1930,AL,Saves,Lefty Grove,Philadelphia,9
1930,AL,Shutouts,Clint Brown,Cleveland,3
1930,AL,Shutouts,George Earnshaw,Philadelphia,3
1930,AL,Shutouts,George Pipgras,New York,3
1930,AL,Strikeouts,Lefty Grove,Philadelphia,209
1930,AL,Winning Percentage,Lefty Grove,Philadelphia,.848
1930,AL,Wins,Lefty Grove,Philadelphia,28
1931,AL,Complete Games,Wes Ferrell,Cleveland,27
1931,AL,Complete Games,Lefty Grove,Philadelphia,27
1931,AL,ERA,Lefty Grove,Philadelphia,2.06
1931,AL,Games,Bump Hadley,Washington,55
1931,AL,Saves,Wilcy Moore,Boston,10
1931,AL,Shutouts,Lefty Grove,Philadelphia,4
1931,AL,Strikeouts,Lefty Grove,Philadelphia,175
1931,AL,Winning Percentage,Lefty Grove,Philadelphia,.886
1931,AL,Wins,Lefty Grove,Philadelphia,31
1932,AL,Complete Games,Lefty Grove,Philadelphia,27
1932,AL,ERA,Lefty Grove,Philadelphia,2.84
1932,AL,Games,Firpo Marberry,Washington,54
1932,AL,Saves,Firpo Marberry,Washington,13
1932,AL,Shutouts,Tommy Bridges,Detroit,4
1932,AL,Shutouts,Lefty Grove,Philadelphia,4
1932,AL,Strikeouts,Red Ruffing,New York,190
1932,AL,Winning Percentage,Johnny Allen,New York,.810
1932,AL,Wins,Alvin Crowder,Washington,26
1933,AL,Complete Games,Lefty Grove,Philadelphia,21
1933,AL,ERA,Monte Pearson,Cleveland,2.33
1933,AL,Games,Alvin Crowder,Washington,52
1933,AL,Saves,Jack Russell,Washington,13
1933,AL,Shutouts,Oral Hildebrand,Cleveland,6
1933,AL,Strikeouts,Lefty Gomez,New York,163
1933,AL,Winning Percentage,Lefty Grove,Philadelphia,.750
1933,AL,Wins,Lefty Grove,Philadelphia,24
1933,AL,Wins,Alvin Crowder,Washington,24
1934,AL,Complete Games,Lefty Gomez,New York,25
1934,AL,ERA,Lefty Gomez,New York,2.33
1934,AL,Games,Jack Russell,Washington,54
1934,AL,Saves,Jack Russell,Washington,7
1934,AL,Shutouts,Mel Harder,Cleveland,6
1934,AL,Shutouts,Lefty Gomez,New York,6
1934,AL,Strikeouts,Lefty Gomez,New York,158
1934,AL,Winning Percentage,Lefty Gomez,New York,.839
1934,AL,Wins,Lefty Gomez,New York,26
1935,AL,Complete Games,Wes Ferrell,Boston,31
1935,AL,ERA,Lefty Grove,Boston,2.70
1935,AL,Games,Russ Van Atta,New York,58
1935,AL,Games,Russ Van Atta,St. Louis,58
1935,AL,Saves,Jack Knott,St. Louis,7
1935,AL,Shutouts,Schoolboy Rowe,Detroit,6
1935,AL,Strikeouts,Tommy Bridges,Detroit,163
1935,AL,Winning Percentage,Elden Auker,Detroit,.720
1935,AL,Wins,Wes Ferrell,Boston,25
1936,AL,Complete Games,Wes Ferrell,Boston,28
1936,AL,ERA,Lefty Grove,Philadelphia,2.81
1936,AL,Games,Russ Van Atta,St. Louis,52
1936,AL,Saves,Pat Malone,New York,9
1936,AL,Shutouts,Lefty Grove,Philadelphia,6
1936,AL,Strikeouts,Tommy Bridges,Detroit,175
1936,AL,Winning Percentage,Bump Hadley,New York,.778
1936,AL,Wins,Tommy Bridges,Detroit,23
1937,AL,Complete Games,Wes Ferrell,Boston,26
1937,AL,Complete Games,Wes Ferrell,Washington,26
1937,AL,ERA,Lefty Gomez,New York,2.33
1937,AL,Games,Clint Brown,Chicago,53
1937,AL,Saves,Clint Brown,Chicago,18
1937,AL,Shutouts,Lefty Gomez,New York,6
